name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Miyasi,Unknown nationality,Alive,Female,Plump,KOD 24,TGS 16,Black Ajah,NA,Aes Sedai,NA,NA,TGS Epilogue,NA,NA,White Ajah,Iron-gray,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Miyora,Unknown nationality,NA,Female,Plump,COT 29,NA,Valan Luca,NA,NA,NA,NA,KOD 11,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Modarra,Aiel,Alive,Female,Lean,ACOS Prologue,KOD 30,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6'2"" or 188cm",Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Modrellein,Andoran,Dead,Female,NA,NA,NA,Andor,Queen,Queen of Andor,NA,TDR 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moghedien,Tarabon,Alive,Female,Sturdy,TSR 46 (TSR 38 as Gyldin),AMOL Epilogue,NA,NA,Chosen,NA,TSR 9,NA,Age of Legends,"Large, dark",NA,"Shoulder length, dark",NA,Damane,NA,NA,NA,NA,NA,NA,NA
Moilin,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TDR 50,TDR 50,NA,NA,NA,NA,NA,Historian,NA,NA,NA,NA,Ogier,NA,NA
Monaelle,Aiel,Alive,Female,NA,WH Prologue,KOD 15,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,"Red, hints of blond",Short,Wise One,Goshien,Unknown sept,NA,NA,NA,NA,NA
Jorille Mondevin,Unknown nationality,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TSASG,TSASG,NA,NA,NA,NA,NA,Historian,NA,NA,NA,NA,NA,NA,NA
Niande Moorwyn,Unknown nationality,Alive,Female,Plump,ACOS 36,ACOS 36,NA,NA,Aes Sedai,NA,LOC 25,NA,851 NE,NA,Gray Ajah,Pale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mora (Goshien),Aiel,NA,Female,NA,TOM 49,NA,NA,NA,NA,NA,TOM 49,NA,NA,NA,NA,NA,NA,Wise One,Goshien,Unknown sept,NA,NA,NA,NA,NA
Mora (Shaarad),Aiel,Dead,Female,NA,NA,NA,NA,NA,NA,NA,LOC 15,NA,NA,NA,NA,NA,NA,Wise One,Shaarad,Unknown sept,NA,NA,NA,NA,NA
Moradri,Mayener,Alive,Female,Long-limbed,TGS 41,TGS 41,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soffi Moraton,Andoran,Alive,Female,NA,TOM,NA,Two Rivers,NA,NA,NA,TOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mordaine,Aiel,Dead,Female,NA,TSR 25,TSR 25,NA,NA,NA,NA,NA,NA,NA,"Green, deep-set",NA,Graying,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA
Morena,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One,Chareen clan,Unknown sept,NA,NA,NA,NA,NA
Solain Morgeillin,Unknown nationality,Alive,Female,NA,ACOS 29,WH 8,The Kin,NA,NA,NA,NA,NA,818 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori,Aiel,Alive,Female,NA,TOM 4,TOM 4,Perrin Aybara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Morin,Aiel,Dead,Female,NA,TSR 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,NA,NA,NA,NA,Far Dareis Mai,NA,NA,NA,NA
Gitara Moroso,Unknown nationality,Dead,Female,Voluptuous,NS 2,NS 2,NA,Keeper of the Chronicles,Aes Sedai,978 NE,NA,TGS 8,672 NE,NA,Blue Ajah,Snow white,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Morrigan,Andoran,Dead,Female,NA,NA,NA,NA,Queen of Andor,Queen,NA,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varuna Morrigan,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,681 NE,TWORJTWOT,TWORJTWOT,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morsa,Seanchan,Alive,Female,NA,TFOH 32,TFOH 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short,Lady,NA,NA,NA,NA,NA,NA,NA
Berenicia Morsad,Shienaran,Alive,Female,Plump,LOC 46,LOC 49,White Tower,NA,Aes Sedai,NA,LOC 41,NA,838 NE,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delana Mosalaine,Shienaran,Dead,Female,Stout,LOC 12,TOM Prologue,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,950 NE,Pale blue,Gray Ajah,"Pale, almost white",NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Amira Moselle,Taraboner,Dead,Female,Stocky,NS 14,NS 14,Elaida a'Roihan's White Tower,NA,Aes Sedai,1000 NE,NA,ACOS 2,823 NE,NA,Red Ajah,"Braided, Long",NA,NA,NA,NA,NA,NA,NA,NA,NA
Catrelle Mosenain,Cairhienin,Dead,Female,NA,NA,NA,NA,NA,NA,NA,NA,COT 15,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Daigian Moseneillin,Cairhienin,Dead,Female,Plump,ACOS 19,TGS 22,Unaligned sisters,Lady,Aes Sedai,1000 NE,NA,TGS 23,907 NE,NA,White Ajah,"Long, Black",Short,NA,NA,NA,NA,NA,NA,NA,NA
Alanna Mosvani,Arafellin,Dead,Female,Slim,NS 3,AMOL 46,Rebel Aes Sedai,NA,Aes Sedai,1000 NE,NA,NA,951 NE,Dark dark,Green Ajah,"Black, long","5' 4 1/2"" or 164 cm",NA,NA,NA,NA,NA,NA,NA,NA
Elinde Motheneos,Esandara,Dead,Female,NA,NA,NA,NA,NA,NA,FY 943,TWORJTWOT,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Careme Mowly,Murandian,Alive,Female,NA,NS 5,NS 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellya Mowly,Murandian,Alive,Female,NA,NS 5,NS 5,NA,NA,NA,NA,NA,NA,978 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muelin,Unknown nationality,Alive,Female,NA,TFOH 40,TFOH 40,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Mulaen,Seanchan,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TGH 42,TGH 42,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Mulinda,Unknown nationality,Alive,Female,NA,LOC 14,LOC 14,Rebel Aes Sedai,NA,NA,NA,LOC 14,LOC 14,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Murane,Borderlander,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andaya Murasaka,Unknown nationality,Alive,Female,NA,TFOH 47,TFOH 47,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Kuan Murasaka,Unknown nationality,Alive,Female,NA,TFOH 47,TFOH 47,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Letice Murow,Murandian,Alive,Female,NA,COT 17,COT 17,White Tower,NA,Novice,NA,NA,NA,NA,Pale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Musarin,Unknown nationality,Alive,Female,NA,TGS 6,TGS 6,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Yellow Ajah,White,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Malind Nachenin,Kandori,Alive,Female,Plump,LOC 35,KOD 23,White Tower,NA,Aes Sedai,NA,NA,NA,941 NE,"Dark, Fierce",Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiruna Nachiman,Arafellin,Dead,Female,NA,TFOH 26,TPOD 12,White Tower,NA,Aes Sedai,NA,NA,AMOL 34,NA,Dark,Green Ajah,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Menuki Nachiman,Arafellin,Alive,Female,NA,NA,NA,Arafel,Queen of Arafel,Queen,NA,TPOD Prologue,TPOD Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nadere,Aiel,Alive,Female,Wide,WH Prologue,TGS 3,Car'a'carn,NA,NA,NA,NA,NA,NA,Green,NA,Pale,Tall,Wise One,Goshien,Unknown sept,NA,NA,NA,NA,NA
Nadira,Unknown nationality,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naeise,Aiel,Dead,Female,NA,ACOS 40,NA,Sevanna,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,NA,Shaido,Moshaine,Far Dareis Mai,NA,NA,NA,NA
Samalin Naerodan,Murandian,Alive,Female,NA,LOC 35,KOD 23,White Tower,NA,Aes Sedai,NA,NA,NA,935 NE,NA,Green Ajah,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Kerene Nagashi,Unknown nationality,Dead,Female,NA,NS 7,NS 8,White Tower,Captain-General (Green Ajah),Aes Sedai,979 NE,NA,NS 18,793 NE,Nearly black,Green Ajah,"Dark, Short",NA,NA,NA,NA,NA,NA,NA,NA,NA
Nagora,Cairhienin,Alive,Female,Lean,KOD 24,TGS 12,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,White Ajah,"Pale, in a roll",Short,NA,NA,NA,NA,NA,NA,NA,NA
Amico Nagoyin,Arafellin,Dead,Female,Slender,TDR 51,TSR 9,Black Ajah,NA,Aes Sedai,999 NE,TDR 25,WH 22,967 NE,"Large, Dark",Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naime din Malzar,Atha'an Miere,Alive,Female,NA,TPOD 5,TPOD 5,Atha'an Miere,NA,Windfinder,NA,NA,TPOD 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naiselle,Altaran,Alive,Female,NA,TPOD 6,TPOD 20,NA,NA,NA,NA,NA,TPOD 20,NA,NA,NA,NA,NA,Banker,NA,NA,NA,NA,NA,NA,NA
Aeldra Najaf,Domani,Alive,Female,Lean,NS 7,NS 12,White Tower,Keeper of the Chronicles,Aes Sedai,NA,NA,NS 14,NA,NA,Blue Ajah,"Short, White",NA,NA,NA,NA,NA,NA,NA,NA,NA
Nakomi,NA,Unknown,Female,NA,TOM 39,AMOL Epilogue,NA,NA,NA,NA,NA,AMOL Prologue,NA,NA,NA,Graying,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA
Nalhera,Far Madding,Alive,Female,NA,WH 22,WH 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Nalla,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TSR 26,TSR 26,NA,NA,NA,NA,NA,NA,Da'shain Aiel,NA,NA,NA,NA,NA,NA
Bennae Nalsad,Shienaran,Alive,Female,Slender,KOD 24,TGS 12,White Tower,NA,Aes Sedai,NA,TDR 37,TGS 16,NA,"Blue, Sharp",Brown Ajah,"Dark, Heavily graying",NA,NA,NA,NA,NA,NA,NA,NA,NA
Adeleas Namelle,NA,Dead,Female,Slender,TGH 22,TPOD 28,Rebel Aes Sedai,NA,Aes Sedai,1000 NE,NA,TOM 27,735 NE,NA,Brown Ajah,White,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vandene Namelle,NA,Dead,Female,Slender,TGH 22,KOD 31,Rebel Aes Sedai,NA,Aes Sedai,1000 NE,NA,TOM 27,737 NE,NA,Green Ajah,White,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namene,Domani,Alive,Female,Slim,KOD 24,KOD 24,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Nana,Mayene,Alive,Female,NA,WH 5,COT 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Nandera,Aiel,Alive,Female,Sinewy,LOC 21,TGS 37,Car'a'carn,NA,NA,NA,NA,NA,NA,Green,NA,Graying,Tall,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Anaiyella Narencelona,Tairen,Alive,Female,Willowy,LOC 19,TOM 13,Darkfriend,High Lady of Tear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narendhra,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,Wheel of Time Companion,NA,NA,NA,NA,NA,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Nariene,Altaran,Dead,Female,NA,NA,NA,NA,Queen of Altara,Queen,NA,ACOS 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narisse,Aiel,Dead,Female,NA,TSR 25,TSR 25,NA,NA,NA,NA,NA,NA,NA,"Green, deep-set",NA,Graying,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA
Azille Narof,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berylla Naron,Illianer,Alive,Female,Lean,TFOH 18,TFOH 18,Black Ajah,NA,Aes Sedai,NA,NA,NA,933 NE,Dark Brown,Blue Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nashia,Unknown nationality,Alive,Female,NA,TOM 52,TOM 52,The Kin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nata,Seanchan,Alive,Female,Bell-shaped,AMOL 19,AMOL 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dark,Squat,Servant,NA,NA,NA,NA,NA,NA,NA
Natasia,Saldaean,Alive,Female,NA,NS 12,NS 14,White Tower,NA,Aes Sedai,NA,NA,NA,NA,"Dark, Tilted",Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valinde Nathenos,Illianer,Alive,Female,Stout,LOC 49,LOC 49,White Tower,NA,Aes Sedai,NA,LOC 41,NA,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiyosa Natomo,Borderlander,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,197 NE,TWORJTWOT,TWORJTWOT,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ishara Nawan,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,454 NE,TWORJTWOT,TWORJTWOT,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nazelle,Kandori,Alive,Female,NA,NA,NA,Kandor,Lady,NA,NA,TPOD Prologue,TPOD Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalaine Ndaye,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,64 NE,TWORJTWOT,TWORJTWOT,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neain,Andoran,Dead,Female,NA,NA,NA,Two Rivers,NA,NA,999 NE,TSR 29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selame Necoine,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,5 NE,TWORJTWOT,TWORJTWOT,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corianin Nedeal,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,526 NE,TDR 21,TFOH 15,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neferi,Seanchan,Dead,Female,NA,NA,NA,NA,NA,Soe'feia,998 NE,WH 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negaine,Unknown nationality,Alive,Female,Spindly,TGS 6,TGS 6,White Tower,NA,Aes Sedai,NA,KOD 2,NA,NA,NA,Brown Ajah,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Negara,Andoran,Alive,Female,NA,TPOD 18,TPOD 18,NA,Lady,NA,NA,LOC 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferane Neheran,Domani,Alive,Female,Stout,COT 21,AMOL 31,White Tower,First Reasoner,Aes Sedai,NA,TPOD 25,NA,727 NE,NA,White Ajah,"Long, Black",Short,Sitter,NA,NA,NA,NA,NA,NA,NA
Neilyn,Unknown nationality,Alive,Female,NA,WH 15,WH 15,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Nelsa,Altaran,Alive,Female,Slim,COT 29,NA,NA,NA,NA,NA,NA,COT 29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maigan Nem,Andoran,Alive,Female,NA,TFOH 1,TFOH 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemaris,Unknown nationality,Alive,Female,NA,NA,NA,NA,NA,NA,NA,KOD 1,KOD 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarene Nemdahl,Taraboner,Unknown,Female,NA,NS 4,AMOL 34,White Tower,NA,Aes Sedai,NA,NA,AMOL 42,955 NE,NA,White Ajah,"Dark, In beaded braids","5'4"" or 163cm",NA,NA,NA,NA,NA,NA,NA,NA
Aloisia Nemosni,Unknown nationality,Alive,Female,NA,NA,NA,The Kin,NA,NA,NA,WH 10,WH 10,c. 400 NE,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Nenci,Seanchan,Alive,Female,NA,TGS Prologue,TGS Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Aludra Nendenhald,Taraboner,Alive,Female,NA,TGH 27,AMOL Epilogue,Matrim Cauthon,NA,NA,NA,NA,NA,959 NE,NA,NA,"Dark, Waist-length",NA,Illuminator,NA,NA,NA,Slender,NA,NA,NA
Kateri Nepvue,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,1000 NE,TOM 5,TOM 5,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pritalle Nerbaijan,Saldaean,Alive,Female,NA,COT Prologue,KOD 24,White Tower,NA,Aes Sedai,NA,NS 4,NA,NA,Green,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nerein,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TFOH 24,TFOH 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tazenia Nerenhald,Taraboner,Dead,Female,NA,NA,NA,Artur Hawkwing,Queen of Tarabon,Queen,NA,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nerilea,Aiel,Alive,Female,NA,ACOS 7,ACOS 7,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Nerith,Seanchan,Alive,Female,NA,TPOD 22,TPOD 23,Ever Victorious Army,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Derys Nermala,Unknown nationality,Alive,Female,Slender,ACOS 23,KOD 17,The Kin,NA,NA,NA,NA,NA,911 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Areina Nermasiv,Kandor,Alive,Female,NA,TFOH 48,KOD 24,NA,NA,NA,NA,NA,NA,NA,Blue,NA,Dark Braid,NA,Hunter of the Horn,NA,NA,NA,NA,NA,NA,NA
Nerrine,NA,Dead,Female,NA,TSR 25,TSR 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenn Aiel,NA,NA,NA,NA,NA,NA
Nesair,Aiel,Alive,Female,NA,TPOD 27,TPOD 27,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shaido,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Nesaline,Caembarin,Dead,Female,NA,NA,NA,NA,Queen of Caembarin,Queen,NA,TWORJTWOT,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesita,Unknown nationality,Alive,Female,Plump,KOD 24,TGS 18,Black Ajah,NA,Aes Sedai,NA,NA,TGS Epilogue,NA,Blue,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairlyn Nesolle,Unknown nationality,Alive,Female,Willowy,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nethvin,Far Madding,Dead,Female,NA,NA,NA,Far Madding,NA,First Counsel,NA,WH 25,WH 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desala Nevanche,Cairhienin,Alive,Female,NA,KOD Epilogue,AMOL 14,The Shadow,NA,Aes Sedai,NA,KOD Prologue,NA,NA,"Dark, large",Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevarin,Aiel,Alive,Female,NA,ACOS 27,TOM 4,Perrin Aybara,NA,NA,NA,NA,NA,NA,Green,NA,"Sandy, long",NA,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Nianh,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TPOD Prologue,TPOD Prologue,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nichil,Aiel,Alive,Female,NA,AMOL 5,AMOL 5,Rand al'Thor,NA,NA,NA,NA,NA,NA,NA,NA,Golden,Short,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Niella,Aiel,Alive,Female,NA,TFOH 36,LOC 18,The Dragon Reborn,NA,NA,NA,NA,NA,NA,Blue-green,NA,Dark reddish,NA,Gai'shain,NA,NA,NA,NA,NA,NA,NA
Niere,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TOM 20,TOM 20,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nildra,Unknown nationality,Alive,Female,"Stick-like, wiry",LOC 8,TPOD 18,White Tower,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Nimri,Unknown nationality,Alive,Female,Petite,TOM 23,TOM 23,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niolle din Lembar,Atha'an Miere,Alive,Female,NA,KOD 22,KOD 22,Atha'an Miere,NA,First Twelve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nissa,Unknown nationality,Alive,Female,NA,TOM 27,TOM 27,White Tower,NA,Accepted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nisura,Shienaran,Alive,Female,NA,TGH 8,TGH 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attendant,NA,NA,NA,NA,NA,NA,NA
Kamile Noallin,Kandori,Alive,Female,Slim,NS 24,NS 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Graying,NA,Banker,NA,NA,NA,NA,NA,NA,NA
Marli Noichin,Seanchan,Alive,Female,Plump,WH 8,WH 8,NA,NA,NA,NA,NA,KOD 14,NA,Dark,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Camaille Nolaisen,Cairhienin,Alive,Female,NA,ACOS 4,KOD 12,Cha Faile,Lady,NA,NA,NA,TOM 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aisling Noon,Tuatha'an,Alive,Female,NA,NS 3,KOD 20,White Tower,NA,Aes Sedai,NA,NA,NA,954 NE,NA,Green Ajah,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Edarna Noregovna,Kandori,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,115 NE,COT 30,COT 30,NA,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ester Norham,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,WH 26,WH 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norie,Seanchan,Alive,Female,NA,KOD 4,KOD 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damane,NA,NA,NA,NA,NA,NA,NA
Turanna Norill,Unknown nationality,Alive,Female,NA,TPOD Prologue,TPOD Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norla,Unclaimed territories,Dead,Female,NA,NA,NA,NA,NA,NA,NA,WH 34,COT 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norlea,Aiel,Alive,Female,NA,ACOS Prologue,TPOD 11,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Norlesh,Aiel,Foreseen,Female,NA,NA,NA,NA,NA,NA,NA,TOM 48,NA,NA,NA,NA,NA,Tall,NA,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Jamilila Norsish,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TGS Epilogue,TGS Epilogue,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayako Norsoni,Arafellin,Alive,Female,NA,KOD 20,AMOL 42,The Shadow,NA,Aes Sedai,NA,WH Prologue,NA,NA,Black,White Ajah,"Black, waist-length","5'2"" or 158 cm",Dreadlord,NA,NA,NA,NA,NA,NA,NA
Tiana Noselle,Unknown nationality,Alive,Female,Slight,ACOS 11,TOM 3,White Tower,NA,Aes Sedai,NA,LOC Prologue,NA,NA,"Large, brown",Gray Ajah,NA,Short,NA,NA,NA,NA,NA,NA,NA,NA
Nosinda,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,Wheel of Time Companion,NA,NA,NA,NA,NA,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
