variable,value,name
Current status,Alive,Ailhuin Guenna
Gender,Female,Ailhuin Guenna
Build,"Large, muscular",Ailhuin Guenna
Hair,Gray,Ailhuin Guenna
Eyes,Dark,Ailhuin Guenna
First appeared,TDR 48,Ailhuin Guenna
Last appeared,TDR 52,Ailhuin Guenna
Last mentioned,TDR 56,Ailhuin Guenna
Occupation,Wise Woman,Ailhuin Guenna
Nationality,Taraboner,Liandrin Guirale
Date of birth,964 NE,Liandrin Guirale
Current status,Unknown,Liandrin Guirale
Gender,Female,Liandrin Guirale
Hair,Honey-colored and braided,Liandrin Guirale
Eyes,Dark Brown,Liandrin Guirale
First appeared,TGH 4,Liandrin Guirale
Last appeared,KOD Prologue,Liandrin Guirale
Last mentioned,TGS 39,Liandrin Guirale
Affiliation,Black Ajah,Liandrin Guirale
Occupation,Da'covale,Liandrin Guirale
Rank,Aes Sedai,Liandrin Guirale
Ajah,Red Ajah,Liandrin Guirale
Nationality,Unknown nationality,Guisin
Current status,Alive,Guisin
Gender,Female,Guisin
Height,Tall,Guisin
Hair,Silver-gold,Guisin
First mentioned,LOC 15,Guisin
First appeared,WH 28,Guisin
Last appeared,WH 28,Guisin
Affiliation,Seanchan,Guisin
Occupation,Damane,Guisin
Rank,Aes Sedai,Guisin
Ajah,Gray Ajah,Guisin
Nationality,Unknown nationality,Gyldan
Current status,Foreseen,Gyldan
Gender,Female,Gyldan
First appeared,TDR 22,Gyldan
Last appeared,TDR 22,Gyldan
Affiliation,Black Ajah,Gyldan
Rank,Aes Sedai,Gyldan
Ajah,Red Ajah,Gyldan
Nationality,Unknown nationality,Hadora
Current status,Alive,Hadora
Gender,Female,Hadora
First appeared,KOD 32,Hadora
Last appeared,KOD 32,Hadora
Affiliation,Queen's Guard,Hadora
Occupation,Soldier,Hadora
Nationality,Tairen,Kera Haellin
Current status,Alive,Kera Haellin
Gender,Female,Kera Haellin
Hair,Fair,Kera Haellin
Eyes,Blue,Kera Haellin
First appeared,ACOS Prologue,Kera Haellin
Last appeared,ACOS Prologue,Kera Haellin
Affiliation,White Tower,Kera Haellin
Rank,Aes Sedai,Kera Haellin
Ajah,Green Ajah,Kera Haellin
Nationality,Andoran,Catalyn Haevin
Current status,Alive,Catalyn Haevin
Gender,Female,Catalyn Haevin
Build,Plump,Catalyn Haevin
Eyes,Dark,Catalyn Haevin
First appeared,COT 13,Catalyn Haevin
Last appeared,TOM 23,Catalyn Haevin
Affiliation,House Trakand,Catalyn Haevin
Title,Lady,Catalyn Haevin
Rank,High Seat,Catalyn Haevin
Nationality,Andoran,Evelle Haevin
Current status,Alive,Evelle Haevin
Gender,Female,Evelle Haevin
First mentioned,COT 13,Evelle Haevin
Last mentioned,COT 13,Evelle Haevin
Affiliation,House Trakand,Evelle Haevin
Title,Lady,Evelle Haevin
Nationality,Amadician,Rina Hafden
Date of birth,923 NE,Rina Hafden
Current status,Alive,Rina Hafden
Gender,Female,Rina Hafden
Build,Stocky,Rina Hafden
First appeared,NS 7,Rina Hafden
Last appeared,TOM 27,Rina Hafden
Affiliation,White Tower,Rina Hafden
Occupation,Sitter,Rina Hafden
Rank,Aes Sedai,Rina Hafden
Ajah,Green Ajah,Rina Hafden
Nationality,Taraboner,Merise Haindehl
Date of birth,798 NE,Merise Haindehl
Current status,Alive,Merise Haindehl
Gender,Female,Merise Haindehl
Height,Tall,Merise Haindehl
Hair,Dark,Merise Haindehl
Eyes,Blue,Merise Haindehl
First appeared,WH 13,Merise Haindehl
Last appeared,AMOL 37,Merise Haindehl
Affiliation,Unaligned sisters,Merise Haindehl
Rank,Aes Sedai,Merise Haindehl
Ajah,Green Ajah,Merise Haindehl
Current status,Dead,Hamada
Race,Ogier,Hamada
Gender,Female,Hamada
First mentioned,TDR 50,Hamada
Last mentioned,TDR 50,Hamada
Nationality,Cairhienin,Lady Hamarashle
Current status,Alive,Lady Hamarashle
Gender,Female,Lady Hamarashle
First appeared,TOM 50,Lady Hamarashle
Last appeared,TOM 50,Lady Hamarashle
Affiliation,Cairhien,Lady Hamarashle
Title,Lady,Lady Hamarashle
Nationality,Far Madding,Escaralde Hamdey
Current status,Alive,Escaralde Hamdey
Gender,Female,Escaralde Hamdey
Height,Tiny,Escaralde Hamdey
First appeared,LOC 13,Escaralde Hamdey
Last appeared,KOD 23,Escaralde Hamdey
Affiliation,White Tower,Escaralde Hamdey
Rank,Aes Sedai,Escaralde Hamdey
Ajah,Brown Ajah,Escaralde Hamdey
Nationality,Taraboner,Faeldrin Harella
Current status,Dead,Faeldrin Harella
Gender,Female,Faeldrin Harella
Hair,Dark,Faeldrin Harella
Eyes,Cool,Faeldrin Harella
First appeared,LOC Prologue,Faeldrin Harella
Last appeared,WH 32,Faeldrin Harella
Last mentioned,AMOL 34,Faeldrin Harella
Affiliation,White Tower,Faeldrin Harella
Rank,Aes Sedai,Faeldrin Harella
Ajah,Green Ajah,Faeldrin Harella
Nationality,Andoran,Reene Harfor
Current status,Unknown,Reene Harfor
Gender,Female,Reene Harfor
Build,Slightly Plump,Reene Harfor
Hair,Graying,Reene Harfor
First appeared,LOC 10,Reene Harfor
Last appeared,KOD 35,Reene Harfor
Affiliation,House Trakand,Reene Harfor
Occupation,First Maid,Reene Harfor
Nationality,Aiel,Harilin
Current status,Alive,Harilin
Gender,Female,Harilin
Build,Lanky,Harilin
Hair,Red,Harilin
First appeared,LOC 28,Harilin
Last appeared,KOD 19,Harilin
Affiliation,Car'a'carn,Harilin
Clan,Taardad,Harilin
Sept,Iron Mountain,Harilin
Society,Far Dareis Mai,Harilin
Nationality,Unknown nationality,Maryl Harke
Current status,Alive,Maryl Harke
Gender,Female,Maryl Harke
First mentioned,WH Prologue,Maryl Harke
Last mentioned,WH Prologue,Maryl Harke
Affiliation,School of Cairhien,Maryl Harke
Occupation,Inventor,Maryl Harke
Nationality,Andoran,Bera Harkin
Current status,Alive,Bera Harkin
Gender,Female,Bera Harkin
Build,Stocky,Bera Harkin
Hair,"Brown, short",Bera Harkin
Eyes,Brown,Bera Harkin
First mentioned,TFOH 27,Bera Harkin
First appeared,LOC 49,Bera Harkin
Last appeared,AMOL 23,Bera Harkin
Affiliation,White Tower,Bera Harkin
Rank,Aes Sedai,Bera Harkin
Ajah,Green Ajah,Bera Harkin
Nationality,Unclaimed territories,Yukiri Haruna
Date of birth,837 NE,Yukiri Haruna
Current status,Alive,Yukiri Haruna
Gender,Female,Yukiri Haruna
Build,Tiny,Yukiri Haruna
Eyes,Green,Yukiri Haruna
First appeared,TPOD 26,Yukiri Haruna
Last appeared,AMOL Epilogue,Yukiri Haruna
Affiliation,White Tower,Yukiri Haruna
Occupation,Sitter,Yukiri Haruna
Rank,Aes Sedai,Yukiri Haruna
Ajah,Gray Ajah,Yukiri Haruna
Nationality,Unknown nationality,Mailaine Harvole
Current status,Dead,Mailaine Harvole
Gender,Female,Mailaine Harvole
First mentioned,TWORJTWOT,Mailaine Harvole
Last mentioned,TWORJTWOT,Mailaine Harvole
Affiliation,White Tower,Mailaine Harvole
Rank,Aes Sedai,Mailaine Harvole
Ajah,Unknown Ajah,Mailaine Harvole
Nationality,Unknown nationality,Biranca Hasad
Current status,Dead,Biranca Hasad
Gender,Female,Biranca Hasad
First mentioned,TWORJTWOT,Biranca Hasad
Last mentioned,TWORJTWOT,Biranca Hasad
Rank,Aes Sedai,Biranca Hasad
Ajah,Unknown Ajah,Biranca Hasad
Nationality,Unknown nationality,Hashala
Current status,Alive,Hashala
Gender,Female,Hashala
Hair,"Black, short",Hashala
First appeared,TGS 41,Hashala
Last appeared,TGS 41,Hashala
Affiliation,White Tower,Hashala
Rank,Novice,Hashala
Nationality,Aiel,Hayde
Current status,Alive,Hayde
Gender,Female,Hayde
First mentioned,AMOL Prologue,Hayde
Last mentioned,AMOL Prologue,Hayde
Occupation,Wise One,Hayde
Clan,Daryne,Hayde
Sept,Unknown sept,Hayde
Nationality,Saldaean,Razina Hazzan
Current status,Alive,Razina Hazzan
Gender,Female,Razina Hazzan
First mentioned,The Wheel of Time Companion,Razina Hazzan
Affiliation,White Tower,Razina Hazzan
Rank,Aes Sedai,Razina Hazzan
Ajah,Brown Ajah,Razina Hazzan
Nationality,Aiel,Heidia
Current status,Alive,Heidia
Gender,Female,Heidia
Build,Slender,Heidia
First appeared,TOM 25,Heidia
Last appeared,TOM 25,Heidia
Affiliation,Car'a'carn,Heidia
Clan,Unknown clan,Heidia
Sept,Unknown sept,Heidia
Society,Far Dareis Mai,Heidia
Nationality,Altaran,Heilin
Current status,Alive,Heilin
Gender,Female,Heilin
Build,Round,Heilin
Hair,Black,Heilin
First appeared,KOD 11,Heilin
Last appeared,KOD 11,Heilin
Occupation,Innkeeper,Heilin
Nationality,Murandian,Seaine Herimon
Date of birth,841NE,Seaine Herimon
Current status,Alive,Seaine Herimon
Gender,Female,Seaine Herimon
Hair,"Black, thick",Seaine Herimon
Eyes,Watery blue,Seaine Herimon
First mentioned,ACOS 8,Seaine Herimon
First appeared,ACOS 32,Seaine Herimon
Last appeared,AMOL 21,Seaine Herimon
Affiliation,White Tower,Seaine Herimon
Occupation,Sitter,Seaine Herimon
Rank,Aes Sedai,Seaine Herimon
Ajah,White Ajah,Seaine Herimon
Current status,Alive,Hessalam
Gender,Female,Hessalam
Hair,Thin,Hessalam
Eyes,"Pale, off-center",Hessalam
First appeared,AMOL Prologue,Hessalam
Last appeared,AMOL 48,Hessalam
Rank,Chosen,Hessalam
Nationality,Murandian,Corele Hovian
Current status,Alive,Corele Hovian
Gender,Female,Corele Hovian
Build,Slim,Corele Hovian
Hair,"Wild, Black",Corele Hovian
Eyes,Blue,Corele Hovian
First appeared,ACOS 19,Corele Hovian
Last appeared,TOM 13,Corele Hovian
Affiliation,Unaligned sisters,Corele Hovian
Rank,Aes Sedai,Corele Hovian
Ajah,Yellow Ajah,Corele Hovian
Nationality,Andoran,Mistress Huldin
Current status,Alive,Mistress Huldin
Gender,Female,Mistress Huldin
First mentioned,LOC 3,Mistress Huldin
First appeared,LOC 3,Mistress Huldin
Last appeared,LOC 3,Mistress Huldin
Last mentioned,LOC 3,Mistress Huldin
Occupation,Weaver,Mistress Huldin
Nationality,Seanchan,Ianelle
Current status,Alive,Ianelle
Gender,Female,Ianelle
First appeared,WH 14,Ianelle
Last appeared,WH 14,Ianelle
Occupation,Sul'dam,Ianelle
Nationality,Altaran,Ibrella
Date of birth,980 NE,Ibrella
Current status,Alive,Ibrella
Gender,Female,Ibrella
First mentioned,LOC 13,Ibrella
Last mentioned,LOC 13,Ibrella
Affiliation,White Tower,Ibrella
Rank,Novice,Ibrella
Nationality,Unknown nationality,Ieine
Current status,Alive,Ieine
Gender,Female,Ieine
Height,Tall,Ieine
Hair,Dark,Ieine
First appeared,ACOS 38,Ieine
Last appeared,TPOD 3,Ieine
Affiliation,The Kin,Ieine
Rank,Elder,Ieine
Nationality,Aiel,Ifeyina
Current status,Alive,Ifeyina
Gender,Female,Ifeyina
First appeared,TOM 32,Ifeyina
Last appeared,TOM 32,Ifeyina
Affiliation,Car'a'carn,Ifeyina
Clan,Unknown clan,Ifeyina
Sept,Unknown sept,Ifeyina
Society,Far Dareis Mai,Ifeyina
Nationality,Tuatha'an,Ila
Current status,Alive,Ila
Gender,Female,Ila
Build,Plump,Ila
Hair,Gray,Ila
Eyes,Dark,Ila
First appeared,TEOTW 25,Ila
Last appeared,AMOL 37,Ila
Nationality,Unknown nationality,Illeisien
Current status,Alive,Illeisien
Gender,Female,Illeisien
First mentioned,TPOD Prologue,Illeisien
Last mentioned,TPOD Prologue,Illeisien
Affiliation,Unaligned sisters,Illeisien
Rank,Aes Sedai,Illeisien
Ajah,Unknown Ajah,Illeisien
Nationality,Domani,Inala
Current status,Alive,Inala
Gender,Female,Inala
Build,Lanky,Inala
First appeared,TGS 40,Inala
Last appeared,TGS 40,Inala
Affiliation,White Tower,Inala
Rank,Novice,Inala
Nationality,Unknown nationality,Ines
Current status,Alive,Ines
Gender,Female,Ines
First appeared,ACOS 35,Ines
Last appeared,ACOS 35,Ines
Affiliation,Darlin Sisnera,Ines
Title,Lady,Ines
Rank,Lady,Ines
Nationality,Seanchan,Iona
Current status,Alive,Iona
Gender,Female,Iona
First mentioned,WH 20,Iona
Last mentioned,WH 20,Iona
Occupation,Sul'dam,Iona
Nationality,Unknown nationality,Irella
Current status,Alive,Irella
Gender,Female,Irella
Build,Lanky,Irella
First mentioned,TGH 38,Irella
First appeared,TGH 39,Irella
Last appeared,TGH 39,Irella
Affiliation,White Tower,Irella
Rank,Accepted,Irella
Nationality,Aiel,Isan
Date of death,1000 NE,Isan
Current status,Dead,Isan
Gender,Female,Isan
First mentioned,ACOS 2,Isan
Last mentioned,AMOL 38,Isan
Affiliation,Car'a'carn,Isan
Clan,Chareen,Isan
Sept,Jarra (sept),Isan
Society,Far Dareis Mai,Isan
Nationality,Dal Calainin,Isebele
Current status,Dead,Isebele
Gender,Female,Isebele
First mentioned,ACOS 16,Isebele
Last mentioned,ACOS 16,Isebele
Title,Queen of Dal Calain,Isebele
Rank,Queen,Isebele
Nationality,Unknown nationality,Isendre
Date of death,999 NE,Isendre
Current status,Dead,Isendre
Gender,Female,Isendre
Hair,Dark,Isendre
Eyes,Dark,Isendre
First appeared,TSR 37,Isendre
Last appeared,TFOH 29,Isendre
Last mentioned,TFOH 46,Isendre
Affiliation,Darkfriend,Isendre
Nationality,Domani,Tamsin Ituralde
Current status,Alive,Tamsin Ituralde
Gender,Female,Tamsin Ituralde
First mentioned,COT Prologue,Tamsin Ituralde
Last mentioned,KOD Prologue,Tamsin Ituralde
Affiliation,Arad Doman,Tamsin Ituralde
Current status,Alive,Iva
Race,Ogier,Iva
Gender,Female,Iva
First mentioned,TGH 35,Iva
Last mentioned,LOC 20,Iva
Nationality,Tairen,Ivara
Date of birth,664 NE,Ivara
Current status,Alive,Ivara
Gender,Female,Ivara
First appeared,ACOS 31,Ivara
Affiliation,The Kin,Ivara
Occupation,Goldsmith,Ivara
Rank,Elder,Ivara
Nationality,Atha'an Miere,Jadein
Current status,Alive,Jadein
Gender,Female,Jadein
Build,Lean,Jadein
First appeared,KOD 22,Jadein
Last appeared,KOD 22,Jadein
Affiliation,Atha'an Miere,Jadein
Rank,Deckmistress,Jadein
Nationality,Unknown nationality,Marith Jaen
Date of birth,700 NE,Marith Jaen
Date of death,988 NE,Marith Jaen
Current status,Dead,Marith Jaen
Gender,Female,Marith Jaen
First mentioned,ACOS Prologue,Marith Jaen
Last mentioned,ACOS 8,Marith Jaen
Affiliation,White Tower,Marith Jaen
Title,Amyrlin Seat,Marith Jaen
Rank,Aes Sedai,Marith Jaen
Ajah,Blue Ajah,Marith Jaen
Nationality,Shienaran,Amalisa Jagad
Current status,Alive,Amalisa Jagad
Gender,Female,Amalisa Jagad
Height,Short,Amalisa Jagad
Hair,Dark,Amalisa Jagad
First mentioned,TGH 2,Amalisa Jagad
First appeared,TGH 4,Amalisa Jagad
Last appeared,TGH 5,Amalisa Jagad
Last mentioned,TGH 8,Amalisa Jagad
Title,Lady,Amalisa Jagad
Nationality,Aiel,Jair
Current status,Alive,Jair
Gender,Female,Jair
First mentioned,ACOS 18,Jair
Last mentioned,ACOS 18,Jair
Clan,Daryne,Jair
Sept,Broken Cliff,Jair
Nationality,Aiel,Jalani
Date of birth,983 NE,Jalani
Current status,Alive,Jalani
Gender,Female,Jalani
Eyes,Green,Jalani
First appeared,LOC 1,Jalani
Last appeared,TGS 31,Jalani
Clan,Unknown clan,Jalani
Sept,Unknown sept,Jalani
Society,Far Dareis Mai,Jalani
Nationality,Seanchan,Jalindin
Current status,Alive,Jalindin
Gender,Female,Jalindin
Eyes,Dark,Jalindin
First appeared,TFOH 32,Jalindin
Last appeared,TFOH 32,Jalindin
Occupation,Seeker for Truth,Jalindin
Nationality,Aiel,Jalys
Current status,Alive,Jalys
Gender,Female,Jalys
Clan,Codarra,Jalys
Sept,Chane Rocks,Jalys
Nationality,Unknown nationality,Jameine
Current status,Alive,Jameine
Gender,Female,Jameine
Build,Willowy,Jameine
First appeared,WH 15,Jameine
Last appeared,COT 3,Jameine
Affiliation,Valan Luca,Jameine
Occupation,Seamstress,Jameine
Nationality,Andoran,Jan
Current status,Alive,Jan
Gender,Female,Jan
First mentioned,LOC Prologue,Jan
Occupation,Seamstress,Jan
Nationality,Aiel,Janina
Current status,Alive,Janina
Gender,Female,Janina
Hair,Flaxen,Janina
Eyes,Pale blue,Janina
First appeared,TPOD 9,Janina
Last appeared,KOD 29,Janina
Affiliation,Car'a'carn,Janina
Occupation,Wise One,Janina
Clan,Unknown clan,Janina
Sept,Unknown sept,Janina
Nationality,Saldaean,Janira
Date of death,1000 NE,Janira
Current status,Dead,Janira
Gender,Female,Janira
Hair,Gray,Janira
First appeared,ACOS 38,Janira
Last appeared,ACOS 38,Janira
Affiliation,The Kin,Janira
Rank,Elder,Janira
Nationality,Andoran,Janny
Current status,Alive,Janny
Gender,Female,Janny
First appeared,COT 15,Janny
Last appeared,COT 15,Janny
Occupation,Maid,Janny
Nationality,Seanchan,Lisaine Jarath
Current status,Alive,Lisaine Jarath
Gender,Female,Lisaine Jarath
Hair,Gray,Lisaine Jarath
Eyes,Blue,Lisaine Jarath
First appeared,TPOD 24,Lisaine Jarath
Last appeared,TPOD 24,Lisaine Jarath
Occupation,Der'sul'dam,Lisaine Jarath
Nationality,Kandori,Jarene
Date of birth,966 NE,Jarene
Current status,Alive,Jarene
Gender,Female,Jarene
First appeared,NS 25,Jarene
Last appeared,NS 25,Jarene
Affiliation,Kandor,Jarene
Nationality,Unknown nationality,Jasmen
Current status,Alive,Jasmen
Gender,Female,Jasmen
First appeared,TGS 40,Jasmen
Last appeared,TGS 40,Jasmen
Affiliation,White Tower,Jasmen
Rank,Novice,Jasmen
Nationality,Aiel,Jendhilin
Current status,Dead,Jendhilin
Gender,Female,Jendhilin
First mentioned,WH 34,Jendhilin
Last mentioned,TGS 29,Jendhilin
Affiliation,Car'a'carn,Jendhilin
Clan,Miagoma,Jendhilin
Sept,Cold Peak,Jendhilin
Society,Far Dareis Mai,Jendhilin
Nationality,Murandian,Jennet (Murandian noble)
Current status,Alive,Jennet (Murandian noble)
Gender,Female,Jennet (Murandian noble)
Eyes,Big,Jennet (Murandian noble)
First appeared,TPOD 18,Jennet (Murandian noble)
Last appeared,TPOD 18,Jennet (Murandian noble)
Last mentioned,KOD 23,Jennet (Murandian noble)
Affiliation,Murandy,Jennet (Murandian noble)
Title,Lady,Jennet (Murandian noble)
Rank,Novice,Jennet (Murandian noble)
Nationality,Altaran,Jera
Current status,Alive,Jera
Gender,Female,Jera
Last appeared,KOD 11,Jera
Occupation,Maid,Jera
Nationality,Aiel,Jesain
Current status,Alive,Jesain
Gender,Female,Jesain
Height,Short,Jesain
Hair,"Long, Wild, Fiery Red",Jesain
First appeared,COT 9,Jesain
Last appeared,COT 9,Jesain
Affiliation,Shaido Aiel,Jesain
Occupation,Wise One,Jesain
Clan,Shaido,Jesain
Sept,Unknown sept,Jesain
Nationality,Unknown nationality,Jesamyn
Current status,Alive,Jesamyn
Gender,Female,Jesamyn
Hair,Golden,Jesamyn
First appeared,AMOL Prologue,Jesamyn
Last appeared,AMOL Prologue,Jesamyn
Last mentioned,AMOL 1,Jesamyn
Affiliation,The Kin,Jesamyn
Nationality,Tairen,Jezrail
Current status,Alive,Jezrail
Gender,Female,Jezrail
Hair,Dark,Jezrail
First appeared,KOD 24,Jezrail
Last appeared,AMOL 14,Jezrail
Affiliation,The Shadow,Jezrail
Rank,Aes Sedai,Jezrail
Ajah,Red Ajah,Jezrail
Nationality,Amadician,Jharen
Current status,Alive,Jharen
Gender,Female,Jharen
Build,Plump,Jharen
Hair,"gray, curly, long",Jharen
First appeared,TFOH 13,Jharen
Last appeared,TFOH 16,Jharen
Last mentioned,TFOH 17,Jharen
Occupation,Innkeeper,Jharen
Nationality,Amadician,Eldrith Jhondar
Date of birth,884 NE,Eldrith Jhondar
Date of death,1000 NE,Eldrith Jhondar
Current status,Dead,Eldrith Jhondar
Gender,Female,Eldrith Jhondar
Build,Plump,Eldrith Jhondar
First appeared,TSR 38,Eldrith Jhondar
Last appeared,TOM 23,Eldrith Jhondar
Affiliation,Black Ajah,Eldrith Jhondar
Rank,Aes Sedai,Eldrith Jhondar
Ajah,Brown Ajah,Eldrith Jhondar
Nationality,Seanchan,Jillari
Current status,Alive,Jillari
Gender,Female,Jillari
Build,Slight,Jillari
Hair,"Long, fiery red",Jillari
Eyes,Green,Jillari
First mentioned,WH 8,Jillari
First appeared,KOD 14,Jillari
Last appeared,KOD 14,Jillari
Occupation,Damane,Jillari
Nationality,Unknown nationality,Jillien
Current status,Alive,Jillien
Gender,Female,Jillien
Build,Plump,Jillien
First appeared,TPOD 20,Jillien
Last appeared,TPOD 28,Jillien
Affiliation,The Kin,Jillien
Occupation,Goldsmith,Jillien
Nationality,Seanchan,Jini
Current status,Alive,Jini
Gender,Female,Jini
Hair,"Short, yellow",Jini
First appeared,TFOH 32,Jini
Last appeared,TFOH 32,Jini
Occupation,Damane,Jini
Nationality,Seanchan,Jinjin
Current status,Alive,Jinjin
Gender,Female,Jinjin
First appeared,ACOS 26,Jinjin
Last appeared,ACOS 26,Jinjin
Occupation,Damane,Jinjin
Nationality,Aiel,Joinde
Current status,Alive,Joinde
Gender,Female,Joinde
First mentioned,TFOH 3,Joinde
Last mentioned,TFOH 3,Joinde
Clan,Shaarad,Joinde
Sept,Black Rock,Joinde
Society,Far Dareis Mai,Joinde
Nationality,Aiel,Jolien
Date of death,999 NE,Jolien
Current status,Dead,Jolien
Gender,Female,Jolien
Hair,Red-gold,Jolien
Eyes,Blue,Jolien
First appeared,TDR 38,Jolien
Last appeared,TFOH 44,Jolien
Affiliation,Car'a'carn,Jolien
Clan,Nakai,Jolien
Sept,Salt Flat,Jolien
Society,Far Dareis Mai,Jolien
Nationality,Saldaean,Jonasim
Current status,Dead,Jonasim
Gender,Female,Jonasim
First mentioned,TOM 16,Jonasim
Last mentioned,TOM 16,Jonasim
Occupation,Queen,Jonasim
Nationality,Ghealdanin,Jorath
Current status,Alive,Jorath
Gender,Female,Jorath
First mentioned,TDR 8,Jorath
Last mentioned,TDR 8,Jorath
Nationality,Taraboner,Tesien Jorhald
Gender,Female,Tesien Jorhald
First mentioned,ACOS 32,Tesien Jorhald
Last mentioned,ACOS 32,Tesien Jorhald
Affiliation,White Tower,Tesien Jorhald
Rank,Aes Sedai,Tesien Jorhald
Ajah,Red Ajah,Tesien Jorhald
Nationality,Unknown nationality,Josaine
Date of death,1000 NE,Josaine
Current status,Dead,Josaine
Gender,Female,Josaine
First mentioned,ACOS 32,Josaine
First appeared,TGS 40,Josaine
Last appeared,TGS 40,Josaine
Affiliation,White Tower,Josaine
Rank,Aes Sedai,Josaine
Ajah,Green Ajah,Josaine
Nationality,Taraboner,Famelle Juarde
Current status,Alive,Famelle Juarde
Gender,Female,Famelle Juarde
Build,Slender,Famelle Juarde
Hair,Honey,Famelle Juarde
Eyes,Brown,Famelle Juarde
First appeared,ACOS 37,Famelle Juarde
Last appeared,WH 11,Famelle Juarde
Affiliation,The Kin,Famelle Juarde
Rank,Elder,Famelle Juarde
Nationality,Atha'an Miere,Jorin din Jubai White Wing
Current status,Alive,Jorin din Jubai White Wing
Gender,Female,Jorin din Jubai White Wing
First appeared,TSR 19,Jorin din Jubai White Wing
Last appeared,TSR 39,Jorin din Jubai White Wing
Affiliation,Atha'an Miere,Jorin din Jubai White Wing
